city,lat,lon,x_km,y_km
Algiers,36.7538,3.0588,275.1653208,4086.836095
Oran,35.6971,-0.6417,-57.72642422,3969.336416
Constantine,36.365,6.6147,595.0490545,4043.603507
Annaba,36.902,7.7639,698.4294608,4103.315183
Blida,36.4736,2.8298,254.5648048,4055.679276
Batna,35.5559,6.1744,555.4402893,3953.635692
Sétif,36.1911,5.4137,487.0087935,4024.26671
Béjaia,36.75,5.0736,456.4138786,4086.413554
Tlemcen,34.8936,-1.3169,-118.466461,3879.991292
Sidi Bel Abbas,35.2,-0.6333,-56.9707721,3914.061418
Jijel,36.82,5.7666,518.7551782,4094.197199
Skikda,36.8769,6.9,620.7142389,4100.52419
Tizi Ouzou,36.7167,4.0497,364.3052831,4082.710763
Biskra,34.8519,5.7331,515.7415656,3875.354464
Mostaganem,35.9372,0.0906,8.150247832,3996.034318
Chlef,36.1654,1.3345,120.0497321,4021.409
Bordj Bou Arréridj,36.0756,4.7578,428.0049573,4011.423696
Mascara,35.3964,0.1403,12.62118952,3935.900101
El Oued,33.3698,6.8677,617.8085766,3710.552463
Médéa,36.2644,2.7535,247.7009647,4032.417298
